,S_1_ID,S_1_lat,S_1_lon,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
10,3,50.125601,-113.151587,3,50.12116945843657,-113.14917239506724,3,59898209.436579384,3,47848.0,50.25,-113.0,495847430.9524226,47848,1943972.4272789136,0.032454599988288535,0.003920505191576642,0.03245459998828851,0.003920505191576642
11,3,50.125601,-113.151587,3,50.12116945843657,-113.14917239506724,3,59898209.436579384,3,47847.0,50.25,-113.25,495847430.9524226,47847,24128960.011912473,0.40283274306321915,0.048662065195267064,0.4028327430632188,0.04866206519526708
12,4,50.200421,-112.791051,4,50.19132849661581,-112.79603871200857,4,86261169.69027583,4,48330.0,50.0,-112.75,498415313.3194774,48330,696013.8898690182,0.008068681335623941,0.0013964536627767753,0.008068681335623941,0.0013964536627767772
13,4,50.200421,-112.791051,4,50.19132849661581,-112.79603871200857,4,86261169.69027583,4,47849.0,50.25,-112.75,495847430.95242256,47849,85565155.80040681,0.991931318664376,0.17256347509162942,0.991931318664376,0.17255003283254994
14,5,49.943092,-112.529911,5,49.94186380803061,-112.5309628864599,5,92355922.20465226,5,48331.0,50.0,-112.5,498415313.3195158,48331,92355922.20465226,1.0,0.1852991265247227,1.0,0.18529912652472266
15,6,49.684033,-112.864833,6,49.68529006622842,-112.86545150420339,6,55068295.1749507,6,48811.0,49.75,-112.75,500973365.38724244,48811,29543407.372667473,0.5364866894609458,0.058972012114518316,0.5364866894609466,0.05897069931755559
16,6,49.684033,-112.864833,6,49.68529006622842,-112.86545150420339,6,55068295.1749507,6,48810.0,49.75,-113.0,500973365.38724244,48810,25524887.80228314,0.46351331053905276,0.05095058852590479,0.4635133105390534,0.05095058852590479
17,7,49.299787,-113.804139,7,49.29654382944184,-113.79940555803576,7,3791913.008147351,7,49769.0,49.25,-113.75,506059794.770654,49769,3791913.008147354,1.0000000000000007,0.0074930137650351105,1.0,0.007493013765035109
19,8,49.938559,-111.931491,8,49.93537058635515,-111.92615475090531,8,139187271.81499067,8,48814.0,49.75,-112.0,500973365.3872812,48814,11104.574270468813,7.978153552164699e-05,2.2165997311821836e-05,7.978153552164713e-05,2.240060921408167e-05
21,8,49.938559,-111.931491,8,49.93537058635515,-111.92615475090531,8,139187271.81499067,8,48333.0,50.0,-112.0,498415313.3195158,48333,102826026.11084883,0.7387602671566577,0.20630591268557358,0.7387602671566589,0.20630591268557377
20,8,49.938559,-111.931491,8,49.93537058635515,-111.92615475090531,8,139187271.81499067,8,48334.0,50.0,-111.75,498415313.3194773,48334,30102860.11699095,0.2162759548660744,0.06039714132477995,0.21627595486607476,0.06039714132477992
18,8,49.938559,-111.931491,8,49.93537058635515,-111.92615475090531,8,139187271.81499067,8,48815.0,49.75,-111.75,500973365.38724244,48815,6247281.012880182,0.044883996441744616,0.012470285736750013,0.04488399644174469,0.012665004069838915
22,9,49.755271,-110.453105,9,49.75909906423531,-110.45716094447312,9,202646452.48913288,9,48821.0,49.75,-110.25,500973365.38724244,48821,29286360.704799313,0.1445194837860279,0.05845891763559434,0.14451948378602783,1.0
