,Unnamed: 0,S_1_ID,S_1_lat,S_1_lon,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols,easymore_case
11,11,3,50.125601,-113.151587,3,50.12116945843657,-113.14917239506724,3,59898209.43657938,3,47847.0,50.25,-113.25,495847430.9524226,47847,24128960.011912476,0.4028327430632191,0.048662065195267,0.4028327430632188,0.048662065195267,99.0,227.0,1
12,12,4,50.200421,-112.791051,4,50.19132849661581,-112.79603871200857,4,86261169.69027583,4,48330.0,50.0,-112.75,498415313.3194774,48330,696013.8898690182,0.0080686813356239,0.0013964536627767,0.0080686813356239,0.0013964536627767,100.0,229.0,1
13,13,4,50.200421,-112.791051,4,50.19132849661581,-112.79603871200857,4,86261169.69027583,4,47849.0,50.25,-112.75,495847430.95242256,47849,85565155.80040681,0.991931318664376,0.1725634750916294,0.991931318664376,0.1725500328325499,99.0,229.0,1
14,14,5,49.943092,-112.529911,5,49.94186380803061,-112.5309628864599,5,92355922.20465226,5,48331.0,50.0,-112.5,498415313.3195158,48331,92355922.20465226,1.0,0.1852991265247227,1.0,0.1852991265247226,100.0,230.0,1
15,15,6,49.684033,-112.864833,6,49.68529006622842,-112.8654515042034,6,55068295.1749507,6,48811.0,49.75,-112.75,500973365.3872424,48811,29543407.372667477,0.5364866894609458,0.0589720121145183,0.5364866894609466,0.0589706993175555,101.0,229.0,1
16,16,6,49.684033,-112.864833,6,49.68529006622842,-112.8654515042034,6,55068295.1749507,6,48810.0,49.75,-113.0,500973365.3872424,48810,25524887.80228314,0.4635133105390527,0.0509505885259047,0.4635133105390534,0.0509505885259047,101.0,228.0,1
17,17,7,49.299787,-113.804139,7,49.29654382944184,-113.79940555803576,7,3791913.008147351,7,49769.0,49.25,-113.75,506059794.770654,49769,3791913.008147354,1.0000000000000009,0.0074930137650351,1.0,0.0074930137650351,103.0,225.0,1
18,19,8,49.938559,-111.931491,8,49.93537058635515,-111.92615475090533,8,139187271.81499067,8,48814.0,49.75,-112.0,500973365.3872812,48814,11104.574270468813,7.978153552164699e-05,2.216599731182184e-05,7.978153552164713e-05,2.240060921408167e-05,101.0,232.0,1
19,21,8,49.938559,-111.931491,8,49.93537058635515,-111.92615475090533,8,139187271.81499067,8,48333.0,50.0,-112.0,498415313.3195158,48333,102826026.11084884,0.7387602671566577,0.2063059126855735,0.7387602671566589,0.2063059126855737,100.0,232.0,1
20,20,8,49.938559,-111.931491,8,49.93537058635515,-111.92615475090533,8,139187271.81499067,8,48334.0,50.0,-111.75,498415313.3194773,48334,30102860.11699095,0.2162759548660744,0.0603971413247799,0.2162759548660747,0.0603971413247799,100.0,233.0,1
21,18,8,49.938559,-111.931491,8,49.93537058635515,-111.92615475090533,8,139187271.81499067,8,48815.0,49.75,-111.75,500973365.3872424,48815,6247281.012880182,0.0448839964417446,0.01247028573675,0.0448839964417446,0.0126650040698389,101.0,233.0,1
22,22,9,49.755271,-110.453105,9,49.75909906423531,-110.45716094447312,9,202646452.48913288,9,48821.0,49.75,-110.25,500973365.3872424,48821,29286360.704799317,0.1445194837860279,0.0584589176355943,0.1445194837860278,1.0,101.0,239.0,1
23,23,9,49.755271,-110.453105,9,49.75909906423531,-110.45716094447312,9,202646452.48913288,9,48820.0,49.75,-110.5,500973365.3872424,48820,169765945.75915062,0.8377444740526829,0.3388721985807068,0.8377444740526824,1.0,101.0,238.0,1
