,ID_t,S_1_lat,S_1_lon,lat_t,lon_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols
12,4,50.200421,-112.791051,50.19132849661581,-112.79603871200857,0.010859722213534,4,47171.0,50.25,-112.75,0.0625,47171,0.010772222260729,0.99194270800997,0.172355556171666,0.991942708009971,0.172342151782094,99.0,229.0
13,4,50.200421,-112.791051,50.19132849661581,-112.79603871200857,0.010859722213534,4,47650.0,50.0,-112.75,0.0625,47650,8.7499952805e-05,0.008057291990029,0.001399999244881,0.008057291990029,0.001399999244881,100.0,229.0
14,5,49.943092,-112.529911,49.94186380803061,-112.5309628864599,0.011567361101857,5,47651.0,50.0,-112.5,0.0625,47651,0.011567361101857,1.0,0.185077777629713,1.0,0.185077777629714,100.0,230.0
15,6,49.684033,-112.864833,49.68529006622842,-112.86545150420339,0.006861111105622,6,48128.0,49.75,-113.0,0.0625,48128,0.003180555728762,0.463562778651927,0.050888891660189,0.463562778651927,0.050888891660189,101.0,228.0
16,6,49.684033,-112.864833,49.68529006622842,-112.86545150420339,0.006861111105622,6,48129.0,49.75,-112.75,0.0625,48129,0.00368055537686,0.536437221348073,0.058888886029766,0.536437221348073,0.058887577416935,101.0,229.0
17,7,49.299787,-113.804139,49.29654382944184,-113.79940555803576,0.000468749999625,7,49083.0,49.25,-113.75,0.0625,49083,0.000468749999625,1.0,0.007499999993998,1.0,0.007499999993998,103.0,225.0
18,8,49.938559,-111.931491,49.93537058635515,-111.92615475090531,0.017430555541611,8,47654.0,50.0,-111.75,0.0625,47654,0.003767361023138,0.216135453293173,0.060277776370207,0.216135453293173,0.060277776370208,100.0,233.0
19,8,49.938559,-111.931491,49.93537058635515,-111.92615475090531,0.017430555541611,8,48132.0,49.75,-112.0,0.0625,48132,1.388892596e-06,7.9681487651e-05,2.2222281538e-05,7.9681487651e-05,2.2456938368e-05,101.0,232.0
20,8,49.938559,-111.931491,49.93537058635515,-111.92615475090531,0.017430555541611,8,47653.0,50.0,-112.0,0.0625,47653,0.012880555744669,0.738964154866975,0.206088891914698,0.738964154866974,0.206088891914698,100.0,232.0
21,8,49.938559,-111.931491,49.93537058635515,-111.92615475090531,0.017430555541611,8,48133.0,49.75,-111.75,0.0625,48133,0.000781249881209,0.044820710352203,0.012499998099337,0.044820710352203,0.012694719497334,101.0,233.0
22,9,49.755271,-110.453105,49.75909906423531,-110.45716094447312,0.025286274777123,9,48139.0,49.75,-110.25,0.0625,48139,0.003648021965846,0.144268857235798,0.058368351453535,0.144268857235798,1.0,101.0,239.0
23,9,49.755271,-110.453105,49.75909906423531,-110.45716094447312,0.025286274777123,9,48138.0,49.75,-110.5,0.0625,48138,0.021188654212391,0.837950801339896,0.339018467398259,0.837950801339896,1.0,101.0,238.0
24,9,49.755271,-110.453105,49.75909906423531,-110.45716094447312,0.025286274777123,9,47659.0,50.0,-110.5,0.0625,47659,0.000449598598886,0.017780341424306,0.007193577582177,0.017780341424306,1.0,100.0,238.0
25,10,50.045802,-110.884207,50.05516314738838,-110.88055263079325,0.020452751117314,10,47657.0,50.0,-111.0,0.0625,47657,0.01126971616617,0.551012237988358,0.180315458658724,0.551012237988358,0.32264971549493,100.0,236.0
26,10,50.045802,-110.884207,50.05516314738838,-110.88055263079325,0.020452751117314,10,47658.0,50.0,-110.75,0.0625,47658,0.009183034951144,0.448987762011642,0.146928559218305,0.448987762011642,1.0,100.0,237.0
27,11,51.443713,-116.202147,51.4439615453722,-116.20146475608573,0.001622222220925,11,44762.0,51.5,-116.25,0.0625,44762,0.001622222220925,1.0,0.025955555534793,1.0,0.029549665107721,94.0,215.0
